COUNTRY,YEAR,GENDER,LIFEXP,UNEMPR,INFMOR,GDP,GNI,CLTECH,PERCAP,RTIMOR,TUBINC,DPTIMM,HEPIMM,MEAIMM,HOSBED,SANSER,TUBTRT,URBPOP,RURPOP,NCOMOR,SUIRAT
Canada,2019,Male,80,6.03000021,4.8,1.74E+12,1.72E+12,100,46338.34096,5.3,5.9,91,74,90,2.52,99.03268117,79,81.482,18.518,11.2,17.6
Chad,2019,Male,52.835,1.368000031,75.2,11314951343,11140998595,3.8,709.5400432,32.4,142,50,50,41,0.4,11.81708026,80,23.279,76.721,22.9,9.6
Channel Islands,2019,Male,81.173,6.15500021,30.23476623,8155027321,7859240418,60.5930232,53905.52895,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,98.5,76.72563552,30.931,69.069,22.09954023,10.61922198
Chile,2019,Male,77.771,6.756000042,6.5,2.79E+11,2.69E+11,100,14741.7144,14.9,18,96,96,95,2.285789474,99.99999614,74,87.643,12.357,12,14.9
China,2019,Male,74.761,5.004000187,6.3,1.43E+13,1.42E+13,64.400002,10143.83817,17.4,58,99,99,99,2.547222222,90.85138344,94,60.308,39.692,20.2,9.8
Colombia,2019,Male,74.528,7.879000187,13,3.23E+11,3.16E+11,94.300003,6424.979492,15.4,35,92,92,95,1.426153848,92.75423558,75,81.104,18.896,10.8,6.1
Comoros,2019,Male,62.587,6.756999969,53.1,1192559739,1170987117,7.5,1401.542312,26.6,35,91,91,90,2.18,35.90667418,87.28571429,29.164,70.836,20.7,7
"Congo, Dem. Rep.",2019,Male,59.147,5.080999851,71.3,50400747050,48961722123,4.5,580.7168706,34.9,320,57,57,57,0.95,15.77493074,92,45.046,54.954,26,10.6
"Congo, Rep.",2019,Male,63.082,19.34900093,39.4,12750339023,10017208118,33.5,2369.729494,29.7,373,79,79,73,1.6,20.36426415,72,67.373,32.627,23,9.5
Costa Rica,2019,Male,77.739,9.116000175,7.6,64072870932,60210176462,95.5,12693.82796,14.8,10,95,98,95,1.1,97.75378868,82.61111111,80.076,19.924,11,14.1
Cote d'Ivoire,2019,Male,56.593,2.90199995,66.2,58539424930,56975603680,30.299999,2276.332394,24.1,137,84,84,76,0.4,33.86906503,84,51.239,48.761,23.6,14.9
Croatia,2019,Male,75.4,6.15199995,4.3,62246206341,61323651128,100,15311.7669,7.9,8.3,94,93,93,5.706111111,96.5558337,24,57.242,42.758,21.8,25.3
Cuba,2019,Male,76.84,1.651000023,4.6,1.03E+11,61470113489,74.76,9125.878679,8.9,6.5,99,99,99,5.258571435,91.14421779,82,77.109,22.891,19.8,23
Cyprus,2019,Male,78.921,6.28000021,2.5,25758357775,24544867346,100,29206.07672,5.8,6.3,96,94,86,3.800555556,99.3958161,28,66.805,33.195,10.7,6
Czech Republic,2019,Male,76.3,1.715999961,2.7,2.52E+11,2.37E+11,100,23660.14881,5.9,4.9,97,97,92,7.192631579,99.13371501,74,73.921,26.079,18.8,19.8
Denmark,2019,Male,79.3,4.798999786,3.5,3.48E+11,3.58E+11,100,59775.7351,3.7,5.2,97,81.30778501,96,2.6,99.59722892,45,87.994,12.006,12.6,14.9
Djibouti,2019,Male,65.116,22.75600052,52.9,3324615549,3230771828,9.5,3414.916178,23.5,234,85,85,83,1.531333333,66.63823909,82,77.915,22.085,23.4,12.6
Dominican Republic,2019,Male,70.991,4.122000217,30.8,88941299734,84871455782,91.300003,8282.117131,64.6,42,89,87,96,1.658461531,86.72522397,80,81.828,18.172,22.1,8
Ecuador,2019,Male,74.282,3.257999897,12.9,1.08E+11,1.05E+11,93.900002,6222.524653,20.1,46,85,85,83,1.544166667,90.59721885,80,63.986,36.014,11.8,11.6
"Egypt, Arab Rep.",2019,Male,69.742,4.739999771,18.4,3.03E+11,2.92E+11,99.900002,3019.092283,10.1,12,95,95,95,1.678888889,97.01897183,87,42.73,57.27,32.7,4
El Salvador,2019,Male,68.455,4.019000053,12.6,26896660000,25559270000,89.099998,4167.730939,20.9,58,81,81,82,1.015384615,82.6592314,90,72.746,27.254,12.2,10.5
Equatorial Guinea,2019,Male,57.743,7.998000145,65.4,11417278045,8329916824,23.9,8419.933336,27.2,286,53,53,53,1.825,61.94024435,76,72.627,27.373,22.1,9.4
Eritrea,2019,Male,64.153,5.322000027,34.7,1223860507,1213078294,9.3000002,424.5282087,37.9,86,95,95,99,0.95,10.51654626,93,31.45741667,68.54258333,29.5,16.6
Estonia,2019,Male,74.4,4.076000214,1.9,31045591753,30759017474,100,23397.12001,4.5,13,91,91,88,5.450526316,99.14237975,76,69.051,30.949,22.1,24.3
Eswatini,2019,Male,56.007,21.21899986,41.6,4495679481,4042783038,54.700001,3915.643467,33.5,363,90,90,81,2.1,64.32418954,86,23.981,76.019,45.2,55.1
Ethiopia,2019,Male,64.694,1.735999942,41.6,95912590628,95322999765,6.5999999,855.7608852,28.2,140,69,68,58,1.255,8.632097142,90,21.225,78.775,17.4,7.7
Faroe Islands,2019,Male,80.6,8.256285193,30.23476623,3126293220,3219884847,60.5930232,64225.2649,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,90.88347572,76.72563552,42.225,57.775,22.09954023,10.61922198
Fiji,2019,Male,65.698,3.854000092,24.4,5496264766,5045561193,49.599998,6175.890653,13.5,66,99,99,96,2.054444444,99.16221577,30,56.75,43.25,41.8,12.2
Finland,2019,Male,79.2,7.173999786,2.1,2.69E+11,2.70E+11,100,48628.64176,3.9,4.7,91,81.30778501,96,5.871578947,99.4479277,38,85.446,14.554,12.4,23.2
France,2019,Male,79.7,8.468000412,3.8,2.73E+12,2.79E+12,100,40578.64429,5.1,9,96,91,90,6.794210526,98.64841485,12,80.709,19.291,14,20.4
French Polynesia,2019,Male,75.612,11.62300014,30.23476623,3447543203,3447543203,60.5930232,14324.11866,18.2292142,22,85.68526614,81.30778501,84.85472701,2.986345617,97.00338108,80,61.897,38.103,22.09954023,10.61922198
Gabon,2019,Male,64.382,15.74199963,35.2,16874405840,15511134185,87.900002,7766.996554,23.9,521,70,70,62,3.2,49.78482573,67,89.741,10.259,26,14.2
"Gambia, The",2019,Male,60.656,7.109000206,39.8,1812529105,1782302843,1.4,772.0459142,29.6,158,88,88,85,1,46.73749884,84,61.931,38.069,22.2,6.6
Georgia,2019,Male,69.349,12.79199982,9.4,17477255562,16699333665,88.199997,4697.983652,12.4,74,94,94,99,3.524,85.92302303,85,59.039,40.961,35.5,16
Germany,2019,Male,78.6,3.493999958,3.4,3.89E+12,4.01E+12,100,46794.89929,3.8,6.4,93,87,97,8.413888889,99.22538453,69,77.376,22.624,15.2,18.6
Ghana,2019,Male,62.991,4.162000179,37.7,68337537816,65527306781,22.6,2246.625578,25.7,144,97,97,92,0.9,22.75965575,84,56.707,43.293,24.3,11.8
Greece,2019,Male,79.5,14.00899982,3.9,2.05E+11,2.03E+11,100,19133.75776,8.3,4.8,99,96,97,4.570526316,98.99026295,0,79.388,20.612,17.2,8.4
Grenada,2019,Male,70.073,8.256285193,15.8,1212694407,1095541630,89.099998,10827.43529,8,3.1,92,94,94,4.015714272,91.33358842,33,36.396,63.604,26.3,0.6
Guam,2019,Male,76.828,5.710999966,30.23476623,6364000000,2.04E+12,60.5930232,38040.58699,18.2292142,54,85.68526614,81.30778501,84.85472701,2.986345617,89.73418581,90,94.859,5.141,22.09954023,10.61922198
Guatemala,2019,Male,71.382,1.825000048,23,77020015201,75608515052,48.799999,4638.634943,22.9,26,85,86,90,0.5725,67.68918412,85,51.439,48.561,16.5,9.4
Guinea,2019,Male,60.855,4.977000237,69.3,13513809258,12853809258,1.6,1058.143368,29.7,176,47,47,47,0.3,28.4901292,89,36.5,63.5,24.9,9.2
Guinea-Bissau,2019,Male,56.305,5.34800005,58.4,1439638443,1470018484,1.1,749.453747,32.2,361,84,84,86,0.85,17.45193858,73,43.777,56.223,27.4,10.2
Guyana,2019,Male,66.927,12.36299992,27.6,5173760192,5127126464,76.800003,6609.51128,22.3,79,99,99,98,2.218571429,85.77491899,71,26.689,73.311,32.1,63
Haiti,2019,Male,61.831,11.29800034,52.6,14785839383,14835495479,4.3000002,1312.770636,18.8,170,51,51,65,0.903333333,36.93852795,84,56.192,43.808,29.9,11.8
Honduras,2019,Male,72.96,4.301000118,16,24915522849,23014068154,44.900002,2556.456891,16.1,31,87,87,87,0.705454545,82.84438013,89,57.73,42.27,17.9,3.3
"Hong Kong SAR, China",2019,Male,82.2,3.552000046,30.23476623,3.63E+11,3.81E+11,60.5930232,48354.47337,18.2292142,63,85.68526614,81.30778501,84.85472701,2.986345617,96.51735501,73,100,0,22.09954023,10.61922198
Hungary,2019,Male,72.9,3.357000113,3.7,1.64E+11,1.59E+11,100,16735.65978,7.7,6.3,99,81.30778501,99,7.395789474,97.98613393,65,71.644,28.356,29.8,25.9
Iceland,2019,Male,81,3.855999947,1.7,24857740445,24634234578,100,68941.46223,2,4.4,91,81.30778501,93,2.83,98.78110168,100,93.855,6.145,10.2,19.8
India,2019,Male,68.464,5.361000061,28.4,2.87E+12,2.84E+12,64.199997,2100.751461,15.6,193,91,91,95,0.535294116,68.33481002,84,34.472,65.528,24.6,14.1
Indonesia,2019,Male,69.572,3.798000097,22.4,1.12E+12,1.09E+12,82.400002,4135.201531,11.3,312,85,85,88,0.815,83.85609129,83,55.985,44.015,28.4,3.7
"Iran, Islamic Rep.",2019,Male,75.593,9.109999657,12.2,2.58E+11,2.58E+11,96.5,3114.622753,21.5,13,99,99,99,1.596111111,90.19770214,85,75.391,24.609,17.6,7.7
Iraq,2019,Male,68.565,10.1789999,24.1,2.35E+11,2.34E+11,99,5980.626918,27.3,28,84,84,82,1.302777778,99.47363683,94,70.678,29.322,27.5,5.2
Ireland,2019,Male,80.4,5.170000076,3,3.99E+11,3.10E+11,100,80886.61574,3.1,5.8,94,93,91,4.074736842,91.34960826,4,63.405,36.595,11.2,15.4
Israel,2019,Male,81,3.686000109,3.2,3.98E+11,3.96E+11,100,43951.24773,3.9,2.9,98,96,98,3.354736842,99.95359852,84,92.501,7.499,10.9,8.4
Italy,2019,Male,81.1,9.088999748,2.8,2.01E+12,2.03E+12,100,33641.63375,5.3,6,95,95,94,3.745789474,99.88521813,72,70.736,29.264,11.3,10.1
Jamaica,2019,Male,72.868,5.806000233,13.1,15830768550,15389268904,83.199997,5369.498371,15.1,3.2,96,96,94,1.684285713,86.63160182,66,55.985,44.015,16.3,3.7
Japan,2019,Male,81.41,2.535000086,1.9,5.15E+12,5.35E+12,100,40777.6087,3.6,13,98,99,96,13.71,99.92597593,66,91.698,8.302,10.9,21.8
Jordan,2019,Male,72.839,15.29399967,14.6,44502895915,44510374789,99.900002,4405.487109,17,5.5,89,89,87,1.718888889,97.16183197,82,91.203,8.797,17,2.5
Kazakhstan,2019,Male,68.82,4.328999996,10.2,1.82E+11,1.59E+11,97.599998,9812.595808,12.7,68,97,97,99,7.294666667,97.86969334,90,57.54,42.46,31.1,29
Kenya,2019,Male,64.313,4.772999763,35.1,1.01E+11,98946140798,17,1912.647867,28.3,267,92,92,89,1.525,32.62581333,86,27.507,72.493,22.7,9.1
Kiribati,2019,Male,64.248,8.256285193,44.3,188391770.6,375392118.2,10.2,1601.861869,1.9,436,97,94,94,1.567142857,45.20830694,92,54.835,45.165,58.4,48.6
"Korea, Dem. People's Rep.",2019,Male,68.615,2.529000044,14.5,2.03E+12,2.04E+12,10.8,12668.8531,24.2,513,97,97,98,13.56666667,84.61949255,84,62.134,37.866,29.8,11.2
"Korea, Rep.",2019,Male,80.3,3.872999907,2.9,1.65E+12,1.67E+12,100,31936.79635,8.6,59,98,98,98,8.384210526,99.94226257,82,81.43,18.57,10.1,40.2
Kosovo,2019,Male,70.3,8.256285193,30.23476623,7899879086,8079698836,60.5930232,4416.108358,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,71.10595062,76.72563552,55.55873415,44.44126585,22.09954023,10.61922198
Kuwait,2019,Male,74.76,0.962000012,8.2,1.36E+11,1.54E+11,100,32373.25112,15.4,22,91,91,98,2.050555556,100,74,100,0,13.8,4.3
Kyrgyz Republic,2019,Male,67.6,5.677000046,18.2,8871026074,8091718900,76.699997,1374.032105,12.7,110,95,95,96,5.153333333,97.77771305,81,36.591,63.409,26.5,11.7
Lao PDR,2019,Male,66.142,0.896000028,40.6,18897252233,17774087076,7.9000001,2635.800015,17.9,155,68,68,69,1.075,79.2961718,90,35.645,64.355,30.9,7.6
Latvia,2019,Male,70.8,7.196000099,3.8,34308783825,33795644697,100,17926.84159,8.1,26,99,99,99,6.855263158,92.41312875,79.17647059,68.222,31.778,31.2,35.5
Lebanon,2019,Male,77.14,10.22999954,6.4,51953744507,51334973749,60.5930232,7578.172368,16.4,13,83,80,82,3.192777778,99.06737938,80,88.758,11.242,24.2,3.8
Lesotho,2019,Male,51.201,22.5720005,78.2,2366213069,2690392210,39.400002,1113.37214,31.9,654,87,87,90,1.3,48.42792417,78,28.585,71.415,49.4,11.6
Liberia,2019,Male,62.715,3.604000092,65,3319596500,2965834700,0.2,672.3404992,38.9,308,74,74,85,0.75,18.05615325,75,51.615,48.385,15.4,5.6
Libya,2019,Male,70.097,16.35300064,10.9,52091152228,53579026897,60.5930232,7685.948132,21.3,59,73,73,73,3.720555556,92.10600221,70,80.393,19.607,19.7,6
Liechtenstein,2019,Male,80.7,8.256285193,30.23476623,6684443550,4199398628,60.5930232,175813.8756,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,99.95,76.72563552,14.371,85.629,22.09954023,10.61922198
Lithuania,2019,Male,71.5,7.032999992,3.2,54697379017,52790650851,100,19575.76848,8.1,42,92,92,93,7.364736842,93.91542258,87,67.855,32.145,28.4,45.4
Luxembourg,2019,Male,80.3,5.644999981,2.5,70195715496,46472073641,100,113218.7133,4.1,9,99,96,99,4.26,97.59426352,36,91.223,8.777,12,15.3
"Macao SAR, China",2019,Male,81.281,2.15899992,30.23476623,55204758070,48878458584,60.5930232,86197.36569,18.2292142,65,85.68526614,81.30778501,84.85472701,2.986345617,100,85,100,0,22.09954023,10.61922198
Madagascar,2019,Male,65.417,1.820000052,41,14104664515,13596240332,0.89999998,522.9895243,29.2,233,79,79,69,0.306666662,11.92103598,82,37.861,62.139,26.4,7.6
Malawi,2019,Male,61.101,4.285999775,33.5,11025357838,10746261348,1.9,591.8463896,33.4,146,95,95,92,1.2,26.27488529,88,17.174,82.826,25.5,9.2
Malaysia,2019,Male,74.234,3.171000004,7.9,3.65E+11,3.56E+11,96.099998,11432.823,22.5,92,98,97,97,1.81,98.51558619,80,76.607,23.393,21.8,8.9
Maldives,2019,Male,77.523,5.491000175,6.5,5607762625,5047935906,99.099998,10561.61351,1.6,36,99,99,99,2.63200001,98.26842581,61,40.238,59.762,13.6,3.9
Mali,2019,Male,58.529,6.71999979,65.5,17280251194,16670712812,0.89999998,879.0431873,22.7,52,77,77,70,0.333333333,43.71028764,82,43.136,56.864,20,5.3
Malta,2019,Male,80.6,3.342999935,6.1,15215714309,14069074719,100,30186.19596,4.1,26,98,98,96,5.957777778,99.96449445,79.07142857,94.678,5.322,12.9,9.8
Mauritania,2019,Male,63.305,9.831000328,55.4,7889662452,7793435300,43.400002,1743.302901,25.6,89,81,81,78,0.4,49.37598772,81,54.507,45.493,13.9,4
Mauritius,2019,Male,71.07,4.113999844,15.8,14045808843,15787531538,100,11097.16898,12.2,12,96,97,99,3.233333333,93.38183079,79,40.766,59.234,28.3,16.3
Mexico,2019,Male,72.203,3.457000017,13.4,1.27E+12,1.23E+12,84.800003,9950.45008,12.8,23,82,56,73,1.035789474,91.73666093,72,80.444,19.556,18,8.5
"Micronesia, Fed. Sts.",2019,Male,66.232,8.256285193,24.4,408057100,454357100,12.5,3585.392449,0.2,100,78,84,78,3.1525,88.30933155,81,22.812,77.188,52.1,43.2
Moldova,2019,Male,67.624,5.788000107,14.1,11970233940,12594010845,95.699997,4491.688827,7.3,80,91,94,97,6.329333333,78.17559111,84,42.726,57.274,33.8,26.1
Mongolia,2019,Male,65.799,5.893000126,15.4,14206359007,12634360578,51.599998,4404.84583,21,428,98,98,98,6.696363636,66.57753112,88,68.543,31.457,44.8,30.7
Montenegro,2019,Male,74.441,14.67500019,2.3,5542674317,5604961151,62.200001,8910.650834,7.6,15,86,72,42,4.048888889,97.50229752,95,67.15,32.85,28.6,31.7
Morocco,2019,Male,75.423,8.729000092,18.4,1.20E+11,1.18E+11,98.099998,3235.00066,17,97,99,99,99,0.973888889,86.32823398,89,62.994,37.006,26,9.7
Mozambique,2019,Male,57.782,3.174000025,58.2,15384701798,15088735867,4.9000001,506.6416391,30,361,88,88,87,0.766666667,35.58641252,94,36.528,63.472,38.8,22
Myanmar,2019,Male,64.046,0.439999998,39.9,68697761477,66388790330,30.299999,1271.111575,20.4,322,90,90,84,0.818333333,73.16531897,88,30.852,69.148,30.6,4.9
Namibia,2019,Male,60.685,21.20299911,34,12496781720,12189026903,46.299999,5009.685904,34.8,486,87,87,80,3,34.96077645,87,51.042,48.958,29.6,16.7
Nepal,2019,Male,69.259,3.288000107,26.7,34186180695,34539791622,31,1194.956876,16.3,238,93,93,92,1.4125,72.88013018,89,20.153,79.847,23.9,16.4
Netherlands,2019,Male,80.5,3.398999929,3.9,9.10E+11,9.14E+11,100,52476.27325,4,5,94,92,94,4.095555556,97.6943826,86,91.876,8.124,11.6,15.5
New Caledonia,2019,Male,75,14.10299969,30.23476623,9438127994,2687308214,60.5930232,34788.52928,18.2292142,9.4,85.68526614,81.30778501,84.85472701,2.986345617,100,66.94117647,71.104,28.896,22.09954023,10.61922198
New Zealand,2019,Male,80,3.818000078,4.4,2.13E+11,2.08E+11,100,42755.21626,9.6,7.5,92,92,92,2.57,99.99999745,83,86.615,13.385,12.1,16.5
Nicaragua,2019,Male,70.944,5.157999992,16,12611218627,12144818041,55.400002,1926.699694,16.9,43,98,98,99,0.933571427,72.96939836,88,58.76,41.24,17.7,6.9
Niger,2019,Male,61.281,0.611000001,50.9,12916455161,13479237976,2.4000001,554.0993893,25.5,84,81,81,79,0.3375,14.30938558,83,16.517,83.483,20.6,7.2
Nigeria,2019,Male,53.789,9.375,80.4,4.48E+11,4.33E+11,13,2229.858652,20.7,219,57,57,54,0.85,41.80768804,88,51.157,48.843,16.1,5
North America,2019,Male,76.68107966,3.972886005,5.9,2.32E+13,2.34E+13,100,63342.98218,11.93975594,3.3,93.72384033,89.43509518,90,3.090525417,99.62789658,75,82.36170798,17.63829202,15.56739954,24.23784068
North Macedonia,2019,Male,73.794,16.48200035,6.3,12606338449,12024670957,76,6070.388054,5.1,12,92,92,75,4.596111111,97.78245516,89,58.208,41.792,27.9,13.9
Norway,2019,Male,81.2,3.960000038,2.1,4.05E+11,4.17E+11,100,75719.7529,2.1,3.3,97,96,97,4.304736842,98.05215533,85,82.616,17.384,10,15.8
Oman,2019,Male,76.127,0.944999993,10.5,88060858257,81918595579,100,17700.70349,10.6,8.5,99,99,99,1.872222222,99.3200387,48,85.443,14.557,22.5,6.8
Pakistan,2019,Male,66.337,3.381999969,60.7,2.79E+11,2.73E+11,49.099998,1288.556325,13,263,75,75,75,0.688333333,66.57990296,93,36.907,63.093,31.8,13.3
Panama,2019,Male,75.421,3.907000065,14.1,66984427150,62482129504,100,15774.25494,13.9,37,88,88,97,2.305714286,83.37854998,83,68.059,31.941,12.7,4.7
Papua New Guinea,2019,Male,63.271,3.329999924,39.2,24751344552,23707267061,9.3000002,2820.306397,12.6,432,35,35,37,2.986345617,19.14928738,71,13.25,86.75,40.3,4.3
Paraguay,2019,Male,72.263,5.386000156,18.4,37906944075,36774393698,68.199997,5380.963322,22,46,86,86,87,1.154545459,91.77642662,67,61.879,38.121,18.6,8.7
Peru,2019,Male,74.06,3.078000069,11.3,2.28E+11,2.19E+11,83.300003,7027.612207,13.6,119,88,88,85,1.457692306,77.8836449,83,78.099,21.901,9.9,4.2
Philippines,2019,Male,67.263,2.051000118,23.9,3.77E+11,4.15E+11,47.400002,3485.340844,12,554,65,65,67,0.989090909,80.8435005,86,47.149,52.851,30.4,3.1
Poland,2019,Male,74.1,3.020999908,4.1,5.97E+11,5.73E+11,100,15732.20313,9.4,15,95,91,93,6.448333333,100,67.47058824,60.037,39.963,22.8,20.1
Portugal,2019,Male,78,5.795000076,3.1,2.40E+11,2.34E+11,100,23330.81729,8.2,19,99,98,99,3.463157895,99.60572242,71,65.764,34.236,15.4,17.9
Puerto Rico,2019,Male,76.529,9.352000237,30.23476623,1.05E+11,70765000000,60.5930232,32850.54861,18.2292142,1.4,85.68526614,81.30778501,84.85472701,2.986345617,100,83,93.576,6.424,22.09954023,10.61922198
Qatar,2019,Male,79.142,0.071000002,5.6,1.76E+11,1.72E+11,100,62276.42869,7.3,35,98,98,99,1.840555556,100,73,99.188,0.812,10.1,7.2
Romania,2019,Male,71.8,4.309000015,6.4,2.50E+11,2.46E+11,100,12899.34611,10.3,66,88,90,90,6.83,86.2498554,84,54.084,45.916,28.6,16.5
Russian Federation,2019,Male,68.24,4.656000137,5.2,1.69E+12,1.63E+12,90.099998,11497.64925,12,50,97,97,98,9.783684211,89.12524936,68,74.587,25.413,35,43.6
Rwanda,2019,Male,66.821,0.994000018,34.1,10355974217,10007994811,1.5,820.1492886,29.4,57,98,98,96,1.633333333,68.8599242,87,17.313,82.687,22,8.2
Samoa,2019,Male,71.324,7.639999866,16.5,852007112.7,816189678.8,35.5,4322.868457,13,11,58,58,87,1.76799999,96.76295103,89,18.056,81.944,33.1,18
Sao Tome and Principe,2019,Male,67.98,10.7329998,15,427425039.7,425925039.7,3.2,1987.579702,27.9,114,95,95,95,3.1,46.21350475,70,73.598,26.402,21.7,2.2
Saudi Arabia,2019,Male,73.935,2.164999962,6.4,7.93E+11,8.01E+11,100,23139.79798,35.9,9.9,96,97,95,2.296111111,100,90,84.065,15.935,22.4,8.9
Senegal,2019,Male,65.757,2.74000001,33.2,23306213742,22651165450,24.5,1430.148259,23.5,117,93,93,90,0.2,55.84328428,91,47.653,52.347,19.1,9.2
Serbia,2019,Male,73.1,9.843999863,5.4,51514222382,48738891691,66.099998,7417.203649,7.5,14,97,94,87,5.503846154,97.89702613,85,56.26,43.74,28.3,16.6
Seychelles,2019,Male,69.7,8.256285193,13.1,1582841059,1523487370,100,16213.48076,11.3,16,99,99,99,4.4,100,57,57.119,42.881,26.7,14.4
Sierra Leone,2019,Male,53.853,5.359000206,88.8,4076578543,4025178583,0.69999999,521.7548367,33,295,95,95,93,0.4,16.18453117,88,42.484,57.516,22.1,8.3
Singapore,2019,Male,81.4,2.936000109,2.1,3.74E+11,3.30E+11,100,65640.70795,2.1,41,96,96,95,2.685000008,100,79,100,0,11.7,15
Slovak Republic,2019,Male,74.3,5.581999779,5.2,1.05E+11,1.03E+11,100,19303.54566,6.1,4.5,97,97,96,6.513157895,97.53184793,94,53.729,46.271,21,21.2
Slovenia,2019,Male,78.5,4.013999939,2,54178877606,53358666620,100,25942.95477,5.1,5.4,95,81.30778501,94,4.724210526,98.09039395,70,54.822,45.178,14.8,31.4
Solomon Islands,2019,Male,71.3,0.727999985,18.7,1570093229,1553502893,9,2344.048976,16.5,66,94,94,81,1.665,34.49241301,95,24.21,75.79,44.1,27
Somalia,2019,Male,55.725,16.29700089,80.3,6476674592,6440983145,3,419.3948077,27.4,258,42,42,46,0.645,38.23090498,92,45.554,54.446,34,12
South Africa,2019,Male,60.726,26.8029995,28.4,3.88E+11,3.78E+11,86.300003,6624.761865,22.2,615,77,77,72,2.645,77.58447964,79,66.856,33.144,28.5,37.6
South Sudan,2019,Male,56.351,11.22299957,68.4,14080606756,11985338309,0,1432.646141,36.7,227,49,49,49,2.986345617,15.74727802,85,19.899,80.101,17.6,5.7
Spain,2019,Male,80.9,12.44900036,3,1.39E+12,1.40E+12,100,29555.3157,3.9,10,96,96,98,3.200526316,99.90365719,47,80.565,19.435,12.8,11.4
Sri Lanka,2019,Male,73.596,3.009000063,6.8,83990946939,81572699417,31.200001,3852.265603,19.7,64,99,99,99,3.337142857,93.65439649,85,18.585,81.415,17.5,22.3
St. Lucia,2019,Male,74.851,13.83399963,23.4,2118791556,2004342259,96.599998,11591.08048,29.8,3.8,92,92,96,2.179090913,83.37231796,67,18.754,81.246,20.8,14.3
St. Martin (French part),2019,Male,76.9,8.256285193,30.23476623,2.03E+12,2.04E+12,60.5930232,12668.8531,18.2292142,136.0432114,85.68526614,81.30778501,84.85472701,2.986345617,100,76.72563552,55.55873415,44.44126585,22.09954023,10.61922198
St. Vincent and the Grenadines,2019,Male,70.289,19.85199928,14.5,825040740.7,818224259.3,94.199997,7460.153362,7.4,4.2,97,97,99,3.591538462,80.72859467,100,52.614,47.386,22.8,1.3
Sudan,2019,Male,63.467,12.90200043,45.4,26155799325,24535685746,53.200001,610.9278615,26.8,67,93,93,90,1.484444444,36.77826091,83,34.936,65.064,24.3,4.9
Suriname,2019,Male,68.468,5.860000134,18.1,3984483762,3572422609,94.099998,6853.693411,15.3,29,77,77,64,3.194444434,89.24914322,79,66.095,33.905,27.8,38.8
Sweden,2019,Male,81.3,6.71600008,2.4,5.34E+11,5.49E+11,100,51939.42974,3.1,5.5,98,97,97,2.770526316,99.28733736,61,87.708,12.292,9.6,19.9
Switzerland,2019,Male,81.9,4.109000206,3.8,7.32E+11,7.05E+11,100,85334.51946,2.2,5.4,96,69,95,5.255789474,99.89987367,68,73.849,26.151,9.6,20.2
Syrian Arab Republic,2019,Male,67.941,6.245999813,20.2,22777882165,21933058465,97.400002,1334.370593,14.9,19,54,54,59,1.466666667,89.79611461,89,54.821,45.179,26.1,3.2
Tajikistan,2019,Male,68.935,7.921000004,32.8,8300784857,9631253672,82,890.5444024,15.7,83,97,97,98,5.572,96.77255849,91,27.309,72.691,31.8,5.7
Tanzania,2019,Male,63.643,1.677999973,38.8,61136873692,61908444374,4.3000002,1085.88486,31.1,237,89,89,88,0.9,31.58598153,93,34.5,65.5,18.1,6.6
Thailand,2019,Male,73.46,0.70599997,8.5,5.44E+11,5.24E+11,79.5,7817.009671,32.2,150,97,97,96,2.15,98.42052549,85,50.692,49.308,17.2,15
Timor-Leste,2019,Male,67.492,3.286999941,40.9,2047931700,2730967258,12.6,1583.713576,11.9,498,83,83,85,5.9,55.69136356,91,30.947,69.053,21.5,5.3
Togo,2019,Male,60.152,4.579999924,49.8,7220395248,7242517959,9.3000002,893.3524541,28.7,37,84,84,75,0.8,18.46905629,87,42.248,57.752,26.8,13.8
Tonga,2019,Male,68.967,2.651000023,11.2,512350059.4,553664950,76.400002,4903.012138,33,11,99,99,99,2.650000012,92.9975705,100,23.107,76.893,29.5,5
Trinidad and Tobago,2019,Male,70.874,3.430000067,16.9,23208326548,23034393453,100,16637.16294,9.3,18,93,93,99,2.84733334,93.91521101,61,53.187,46.813,20.3,13.9
Tunisia,2019,Male,74.688,12.27400017,15.8,41804581484,40087702395,99.800003,3574.654024,16.5,35,92,92,95,1.981111111,96.37657143,90,69.254,30.746,19.2,4.7
Turkey,2019,Male,74.724,12.31099987,9.2,7.61E+11,7.48E+11,95.099998,9121.515167,6.7,16,99,99,97,2.573684211,98.69299276,83,75.63,24.37,21,3.6
Turkmenistan,2019,Male,64.705,5.373000145,41.7,45231428571,43575785421,99.900002,7612.03518,13.5,45,99,99,99,4.431333333,99.00213719,83,52.048,47.952,34,8.8
Uganda,2019,Male,61,1.409000039,36.4,35353060634,34437117591,0.5,798.5857341,29.4,200,93,93,87,0.74,19.66031989,82,24.361,75.639,24.7,7.6
Ukraine,2019,Male,66.92,8.49600029,7.9,1.54E+11,1.56E+11,95.199997,3661.456204,10.2,77,80,76,93,8.794666667,97.74159541,79,69.473,30.527,36.9,39.2
