COUNTRY,YEAR,GENDER,LIFEXP,UNEMPR,INFMOR,GDP,GNI,CLTECH,PERCAP,RTIMOR,TUBINC,DPTIMM,HEPIMM,MEAIMM,HOSBED,SANSER,TUBTRT,URBPOP,RURPOP,NCOMOR,SUIRAT
Mongolia,2019,Female,74.142,4.888000011,12.1,14206359007,12634360578,51.599998,4404.84583,21,428,98,98,98,6.696363636,66.57753112,88,68.543,31.457,25.7,5.4
Montenegro,2019,Female,79.303,15.67500019,2,5542674317,5604961151,62.200001,8910.650834,7.6,15,86,72,42,4.048888889,97.50229752,95,67.15,32.85,16,10.4
Morocco,2019,Female,77.895,10.84200001,14.9,1.20E+11,1.18E+11,98.099998,3235.00066,17,97,99,99,99,0.973888889,86.32823398,89,62.994,37.006,22.3,4.7
Mozambique,2019,Female,63.671,3.730999947,50.1,15384701798,15088735867,4.9000001,506.6416391,30,361,88,88,87,0.766666667,35.58641252,94,36.528,63.472,23.9,5.7
Myanmar,2019,Female,70.119,0.588999987,32.1,68697761477,66388790330,30.299999,1271.111575,20.4,322,90,90,84,0.818333333,73.16531897,88,30.852,69.148,20.2,1.1
Namibia,2019,Female,66.516,18.74200058,27.7,12496781720,12189026903,46.299999,5009.685904,34.8,486,87,87,80,3,34.96077645,87,51.042,48.958,17.3,3.2
Nepal,2019,Female,72.208,2.944999933,22.2,34186180695,34539791622,31,1194.956876,16.3,238,93,93,92,1.4125,72.88013018,89,20.153,79.847,19.3,2.7
Netherlands,2019,Female,83.6,3.358999968,3.2,9.10E+11,9.14E+11,100,52476.27325,4,5,94,92,94,4.095555556,97.6943826,86,91.876,8.124,9.1,8.3
New Caledonia,2019,Female,80.4,15.85599995,30.23476623,9438127994,2687308214,60.5930232,34788.52928,18.2292142,9.4,85.68526614,81.30778501,84.85472701,2.986345617,100,66.94117647,71.104,28.896,22.09954023,10.61922198
New Zealand,2019,Female,83.5,4.427000046,3.7,2.13E+11,2.08E+11,100,42755.21626,9.6,7.5,92,92,92,2.57,99.99999745,83,86.615,13.385,8.5,5.8
Nicaragua,2019,Female,77.982,5.296999931,12.5,12611218627,12144818041,55.400002,1926.699694,16.9,43,98,98,99,0.933571427,72.96939836,88,58.76,41.24,13.4,1.9
Niger,2019,Female,63.621,0.476000011,42.3,12916455161,13479237976,2.4000001,554.0993893,25.5,84,81,81,79,0.3375,14.30938558,83,16.517,83.483,21.3,3.3
Nigeria,2019,Female,55.619,7.472000122,67.2,4.48E+11,4.33E+11,13,2229.858652,20.7,219,57,57,54,0.85,41.80768804,88,51.157,48.843,17.7,1.9
North America,2019,Female,81.68694969,3.796836002,4.9,2.32E+13,2.34E+13,100,63342.98218,11.93975594,3.3,93.72384033,89.43509518,90,3.090525417,99.62789658,75,82.36170798,17.63829202,10.7653927,7.356525156
North Macedonia,2019,Female,77.846,18.3920002,5.6,12606338449,12024670957,76,6070.388054,5.1,12,92,92,75,4.596111111,97.78245516,89,58.208,41.792,17.5,4.8
Norway,2019,Female,84.7,3.398999929,1.7,4.05E+11,4.17E+11,100,75719.7529,2.1,3.3,97,96,97,4.304736842,98.05215533,85,82.616,17.384,7.4,7.7
Oman,2019,Female,80.343,8.144000053,8.5,88060858257,81918595579,100,17700.70349,10.6,8.5,99,99,99,1.872222222,99.3200387,48,85.443,14.557,20.3,1
Pakistan,2019,Female,68.287,4.162000179,50.4,2.79E+11,2.73E+11,49.099998,1288.556325,13,263,75,75,75,0.688333333,66.57990296,93,36.907,63.093,26.9,4.3
Panama,2019,Female,81.756,5.889999866,11.4,66984427150,62482129504,100,15774.25494,13.9,37,88,88,97,2.305714286,83.37854998,83,68.059,31.941,8.8,1
Papua New Guinea,2019,Female,65.82,1.50999999,33.1,24751344552,23707267061,9.3000002,2820.306397,12.6,432,35,35,37,2.986345617,19.14928738,71,13.25,86.75,31.6,1.6
Paraguay,2019,Female,76.396,8.329999924,14.9,37906944075,36774393698,68.199997,5380.963322,22,46,86,86,87,1.154545459,91.77642662,67,61.879,38.121,13.3,3.2
Peru,2019,Female,79.507,3.737999916,9.3,2.28E+11,2.19E+11,83.300003,7027.612207,13.6,119,88,88,85,1.457692306,77.8836449,83,78.099,21.901,9.6,1.4
